player,team,opponent,opposing_pitcher,confirmed_lineup,lineup_status,lineup_source,late_hitter_lock_status,late_hitter_lock_note,today_lineup_slot,projected_pa,model_hit_probability,secondary_hit_probability,third_hit_probability,pa_path_hit_probability,odds,current_snapshot_odds,current_dk_hit_odds,pregame_to_0for1_fair_odds_move,first_pa_no_hit_games,recovery_hit_rate_after_0for1,bayes_recovery_hit_rate,fair_live_odds_after_0for1,first_pa_hit_rate,full_game_hit_rate,avg_remaining_pa_after_0for1,leadoff_samples,leadoff_recovery_hit_rate,sample_flag,buyback_watch_score,late_hitter_pool_rank,sharpie_late_hitter_reserved,sharpie_late_hitter_slot
Andy Pages,LAD,PHI,Cristopher Sánchez,True,confirmed,MLB Starting Lineups Page,LOCKED,LOCKED: Andy Pages is confirmed in today's lineup at slot #2.,2.0,4.5,0.6447,0.6651,0.6706,0.7104,-236,-236.0,-236.0,88.0,17,0.7058823529411765,0.5966178921712327,-148,0.0,0.7058823529411765,3.3529411764705883,0,,strong,81.88667245264487,1,True,1
Junior Caminero,TB,TOR,Dylan Cease,True,confirmed,MLB Starting Lineups Page,LOCKED,LOCKED: Junior Caminero is confirmed in today's lineup at slot #3.,3.0,4.38,0.6353,0.6523,0.6555,0.6764,-200,-200.0,-200.0,24.0,12,0.8333333333333334,0.6375799530402396,-176,0.2,0.8666666666666667,3.9166666666666665,0,,strong,79.82792167680047,2,True,2
Shohei Ohtani,LAD,PHI,Cristopher Sánchez,True,confirmed,MLB Starting Lineups Page,LOCKED,LOCKED: Shohei Ohtani is confirmed in today's lineup at slot #1.,1.0,4.62,0.6351,0.665,0.668,0.7061,-213,-213.0,-213.0,60.0,10,0.8,0.6046326760438978,-153,0.375,0.875,3.7,10,0.8,usable,78.43446760438978,3,True,3
Willson Contreras,BOS,BAL,Shane Baz,True,confirmed,MLB Starting Lineups Page,LOCKED,LOCKED: Willson Contreras is confirmed in today's lineup at slot #4.,4.0,4.2,0.6619,0.652,0.6451,0.6595,-287,-287.0,-287.0,123.0,11,0.8181818181818182,0.6218225596941631,-164,0.26666666666666666,0.8666666666666667,3.090909090909091,0,,usable,76.34172263608298,4,True,4
Travis Bazzana,CLE,MIN,Joe Ryan,True,confirmed,MLB Starting Lineups Page,LOCKED,LOCKED: Travis Bazzana is confirmed in today's lineup at slot #2.,2.0,4.42,0.5853,0.6338,0.6489,0.6781,-170,-170.0,-170.0,23.0,12,0.75,0.595913286373573,-147,0.25,0.8125,3.1666666666666665,6,0.8333333333333334,strong,75.4399286373573,5,True,5
Spencer Steer,CIN,SEA,George Kirby,True,confirmed,MLB Starting Lineups Page,LOCKED,LOCKED: Spencer Steer is confirmed in today's lineup at slot #4.,4.0,4.28,0.6311,0.6503,0.6486,0.6704,-197,-197.0,-197.0,44.0,10,0.8,0.6046326760438978,-153,0.375,0.875,3.0,0,,usable,74.28646760438978,6,False,
Iván Herrera,STL,LAA,José Soriano,True,confirmed,MLB Starting Lineups Page,LOCKED,LOCKED: Iván Herrera is confirmed in today's lineup at slot #2.,2.0,4.5,0.631,0.6608,0.667,0.7058,-240,-240.0,-240.0,106.0,13,0.6923076923076923,0.5720767549186301,-134,0.1875,0.75,3.3846153846153846,0,,strong,74.15933519797284,7,False,
Munetaka Murakami,CWS,TEX,Jacob deGrom,True,confirmed,MLB Starting Lineups Page,LOCKED,LOCKED: Munetaka Murakami is confirmed in today's lineup at slot #2.,2.0,4.5,0.6375,0.6493,0.6463,0.6891,-135,-135.0,-135.0,13.0,14,0.6428571428571429,0.5500738028063751,-122,0.06666666666666667,0.6666666666666666,3.2857142857142856,0,,strong,74.07037332008068,8,False,
Trea Turner,PHI,LAD,Emmet Sheehan,True,confirmed,MLB Starting Lineups Page,LOCKED,LOCKED: Trea Turner is confirmed in today's lineup at slot #1.,1.0,4.54,0.5926,0.639,0.6551,0.6869,-235,-235.0,-235.0,113.0,14,0.6428571428571429,0.5500738028063751,-122,0.125,0.6875,3.4285714285714284,9,0.5555555555555556,strong,73.57323998674732,9,False,
Kyle Stowers,MIA,HOU,Ronel Blanco,True,confirmed,MLB Starting Lineups Page,LOCKED,LOCKED: Kyle Stowers is confirmed in today's lineup at slot #1.,1.0,4.62,0.6582,0.6621,0.6718,0.7083,-204,-204.0,-204.0,100.0,16,0.5625,0.510782816891634,-104,0.058823529411764705,0.5882352941176471,3.125,0,,strong,72.17987080703791,10,False,
